"text","text_en","cmp_code","eu_code"
"FOR A FAIR DEAL",NA,NA,NA
"Manifesto 2024",NA,NA,NA
"This election is our chance to win the change our country desperately needs.",NA,"305.1",NA
"Every vote for the Liberal Democrats is a vote to elect a strong local champion who will fight for a fair deal for you and your community.",NA,"305.1",NA
"A fair deal where everyone can afford a decent home somewhere safe and clean –",NA,"503",NA
"with a comfortable retirement when the time comes.",NA,"503",NA
"A fair deal where every child can go to a good school and have real opportunities to fulfil their potential.",NA,"506",NA
"A fair deal where everyone can get the high-quality healthcare they need, when they need it and where they need it.",NA,"504",NA
"That is the fair deal the Liberal Democrats are fighting for.",NA,"305.1",NA
"For a Fair Deal",NA,"H",NA
"This election is our chance to win the change our country desperately needs.",NA,NA,NA
"Everywhere I go across our great United Kingdom, I see people from all backgrounds and all walks of life, working hard, raising families, helping others and playing by the rules.",NA,NA,NA
"But they have been let down and taken for granted for far too long by this out-of-touch Conservative Government.",NA,NA,NA
"Families and pensioners are struggling with sky-high energy bills, food prices and housing costs – and the Conservatives have only added to the pain, because they just don’t care.",NA,NA,NA
"The Conservatives have plunged the NHS into crisis, failing to deliver the new hospitals they promised and making people wait hours for an ambulance, weeks to see a GP or months for urgent cancer treatment.",NA,NA,NA
"They are letting water companies get away with pumping filthy sewage into our rivers and lakes and onto our beaches.",NA,NA,NA
"It’s time for a change.",NA,NA,NA
"These Conservatives have got to go.",NA,NA,NA
"And in so many parts of the country, we have shown that it is the Liberal Democrats who can get them out.",NA,NA,NA
"But this election is about more than a change of government.",NA,NA,NA
"We must transform the very nature of British politics itself, so that we can fix the health and care crisis, get our economy back on track, end the appalling sewage scandal, and give people the fair deal they deserve.",NA,NA,NA
"Every vote for the Liberal Democrats is a vote to elect a strong local champion who will fight for a fair deal for you and your community.",NA,NA,NA
"A fair deal where everyone can afford a decent home somewhere safe and clean – with a comfortable retirement when the time comes.",NA,NA,NA
"A fair deal where every child can go to a good school and have real opportunities to fulfil their potential.",NA,NA,NA
"A fair deal where everyone can get the high-quality healthcare they need, when they need it and where they need it.",NA,NA,NA
"That is the fair deal the Liberal Democrats are fighting for.",NA,NA,NA
"I know we can achieve it.",NA,NA,NA
"So join us, and let’s make it happen!",NA,NA,NA
"Ed DaveyLeader of the Liberal Democrats",NA,NA,NA
