"text","text_en","cmp_code","eu_code"
"A GREEN INDUSTRIAL REVOLUTION",NA,"H",NA
"11 ECONOMY AND ENERGY",NA,NA,NA
"19TRANSPORT",NA,NA,NA
"22 ENVIRONMENT",NA,NA,NA
"25 ANIMAL WELFARE",NA,NA,NA
"ECONOMY AND ENERGY",NA,"H",NA
"This election is about the crisis of living standards",NA,"503",NA
"and the climate and environmental emergency.",NA,"501",NA
"Whether we are ready or not, we stand on the brink of unstoppable change.",NA,"501",NA
"We must confront this change while dealing with the growing inequality and insecurity in Britain.",NA,"503",NA
"Labour led the UK Parliament in declaring a climate and environmental emergency.",NA,"501",NA
"The next Labour government will lead the world in fighting it, with a plan to drive up living standards by transforming our economy into one low in carbon,",NA,"501",NA
"rich in good jobs,",NA,"701",NA
"radically fairer",NA,"503",NA
"and more democratic.",NA,"202.1",NA
"The climate crisis ties us all into a common fate.",NA,"501",NA
"This election is our best hope to protect future generations from an uninhabitable planet.",NA,"501",NA
"The Intergovernmental Panel on Climate Change has said we need to cut global emissions in half by 2030 to have a chance of keeping global heating within safe limits – that means acting now, and acting decisively.",NA,"501",NA
"The Tories wasted a decade serving the interests of big polluters.",NA,"501",NA
"Labour will use the crucial next decade to act.",NA,"305.1",NA
"The Tories slashed support for renewable energy while pushing through dangerous fracking.",NA,"416.2",NA
"Now Britain is decades off course on vital emissions targets.",NA,"501",NA
"That’s why Labour will kick-start a Green Industrial Revolution",NA,"416.2",NA
"that will create one million jobs in the UK",NA,"701",NA
"to transform our industry, energy, transport, agriculture and our buildings",NA,"411",NA
",    while restoring nature.",NA,"501",NA
"Our Green New Deal aims to achieve the substantial majority of our emissions reductions by 2030 in a way that is evidence-based,",NA,"416.2",NA
"just and that delivers an economy that serves the interests of the many, not the few.",NA,"503",NA
"Just as the original Industrial Revolution brought industry, jobs and pride to our towns, Labour’s world-leading Green Industrial Revolution will rebuild them,",NA,"416.2",NA
"with more rewarding, well-paid jobs,",NA,"701",NA
"lower energy bills",NA,"503",NA
"and whole new industries to revive parts of our country that have been neglected for too long.",NA,"410",NA
"For some, industrial transition has become a byword for devastation, because successive Conservative governments were content to sit back and leave the fate of whole industries and communities at the mercy of market forces.",NA,"403",NA
"A Labour government will never let that happen.",NA,"403",NA
